Incident_Id,Offense,Cluster
143807,Aggravated Assault,Assault
143808,Simple Assault,Assault
143809,Robbery,Burgarly or Robbery
143810,Simple Assault,Assault
143811,Simple Assault,Assault
143812,Intimidation,Psychological Harassment
147833,Simple Assault,Assault
143813,Intimidation,Psychological Harassment
147834,Simple Assault,Assault
143814,Intimidation,Psychological Harassment
147835,Destruction/Damage/Vandalism of Property,Assault
143815,Destruction/Damage/Vandalism of Property,Assault
143816,Arson,Assault
147836,Destruction/Damage/Vandalism of Property,Assault
147837,Destruction/Damage/Vandalism of Property,Assault
147838,Destruction/Damage/Vandalism of Property,Assault
143817,Destruction/Damage/Vandalism of Property,Assault
147839,Destruction/Damage/Vandalism of Property,Assault
143818,Destruction/Damage/Vandalism of Property,Assault
143819,Intimidation,Psychological Harassment
147840,Intimidation,Psychological Harassment
147841,Intimidation,Psychological Harassment
147842,Simple Assault,Assault
143820,Simple Assault,Assault
147843,Destruction/Damage/Vandalism of Property,Assault
143821,Intimidation,Psychological Harassment
147844,Destruction/Damage/Vandalism of Property,Assault
147845,Simple Assault,Assault
143822,Destruction/Damage/Vandalism of Property,Assault
143823,Destruction/Damage/Vandalism of Property,Assault
147846,Simple Assault,Assault
147847,Aggravated Assault,Assault
147848,Intimidation,Psychological Harassment
147848,Simple Assault,Assault
143824,Aggravated Assault,Assault
147849,Destruction/Damage/Vandalism of Property,Assault
147850,Destruction/Damage/Vandalism of Property,Assault
143825,Intimidation,Psychological Harassment
147851,Intimidation,Psychological Harassment
143826,Intimidation,Psychological Harassment
147852,Destruction/Damage/Vandalism of Property,Assault
147853,Destruction/Damage/Vandalism of Property,Assault
147853,Intimidation,Psychological Harassment
143827,Simple Assault,Assault
143828,Destruction/Damage/Vandalism of Property,Assault
147854,Destruction/Damage/Vandalism of Property,Assault
147855,Destruction/Damage/Vandalism of Property,Assault
143829,Destruction/Damage/Vandalism of Property,Assault
143830,Destruction/Damage/Vandalism of Property,Assault
143831,Intimidation,Psychological Harassment
147856,Destruction/Damage/Vandalism of Property,Assault
147857,Destruction/Damage/Vandalism of Property,Assault
147858,Destruction/Damage/Vandalism of Property,Assault
143832,Simple Assault,Assault
143833,Simple Assault,Assault
147859,Simple Assault,Assault
147860,Destruction/Damage/Vandalism of Property,Assault
147861,Intimidation,Psychological Harassment
147861,Simple Assault,Assault
147862,Not Specified,Other
143834,Aggravated Assault,Assault
147863,Destruction/Damage/Vandalism of Property,Assault
143835,Destruction/Damage/Vandalism of Property,Assault
147864,Intimidation,Psychological Harassment
147865,Simple Assault,Assault
143836,Aggravated Assault,Assault
143837,Simple Assault,Assault
143838,Intimidation,Psychological Harassment
143839,Simple Assault,Assault
143840,Simple Assault,Assault
143841,Intimidation,Psychological Harassment
143842,Simple Assault,Assault
143843,Simple Assault,Assault
143844,Simple Assault,Assault
143845,Intimidation,Psychological Harassment
147866,Aggravated Assault,Assault
147867,Destruction/Damage/Vandalism of Property,Assault
143846,Intimidation,Psychological Harassment
147868,Aggravated Assault,Assault
143847,Aggravated Assault,Assault
147869,Intimidation,Psychological Harassment
143848,Destruction/Damage/Vandalism of Property,Assault
143849,Intimidation,Psychological Harassment
147870,Intimidation,Psychological Harassment
147871,Intimidation,Psychological Harassment
143850,Aggravated Assault,Assault
147872,Simple Assault,Assault
143851,Intimidation,Psychological Harassment
143852,Aggravated Assault,Assault
143853,Burglary/Breaking & Entering,Burgarly or Robbery
143854,Simple Assault,Assault
143855,Destruction/Damage/Vandalism of Property,Assault
143856,Destruction/Damage/Vandalism of Property,Assault
143857,Intimidation,Psychological Harassment
143858,Aggravated Assault,Assault
143859,Arson,Assault
143860,Destruction/Damage/Vandalism of Property,Assault
143861,Intimidation,Psychological Harassment
143862,Destruction/Damage/Vandalism of Property,Assault
143863,Intimidation,Psychological Harassment
143864,Destruction/Damage/Vandalism of Property,Assault
143865,Intimidation,Psychological Harassment
143866,Robbery,Burgarly or Robbery
143867,Destruction/Damage/Vandalism of Property,Assault
147709,Aggravated Assault,Assault
147710,Aggravated Assault,Assault
147711,Simple Assault,Assault
147712,Aggravated Assault,Assault
147713,Burglary/Breaking & Entering,Burgarly or Robbery
147713,Destruction/Damage/Vandalism of Property,Assault
147714,Intimidation,Psychological Harassment
147714,Simple Assault,Assault
147715,Aggravated Assault,Assault
147716,Destruction/Damage/Vandalism of Property,Assault
147717,Destruction/Damage/Vandalism of Property,Assault
147718,Destruction/Damage/Vandalism of Property,Assault
147873,Intimidation,Psychological Harassment
147874,Destruction/Damage/Vandalism of Property,Assault
147875,Intimidation,Psychological Harassment
147876,Aggravated Assault,Assault
147877,Destruction/Damage/Vandalism of Property,Assault
147878,Aggravated Assault,Assault
147879,Intimidation,Psychological Harassment
147880,Aggravated Assault,Assault
147881,Intimidation,Psychological Harassment
147882,Aggravated Assault,Assault
147883,Aggravated Assault,Assault
147884,Aggravated Assault,Assault
147885,Arson,Assault
147886,Arson,Assault
143868,Aggravated Assault,Assault
143868,Robbery,Burgarly or Robbery
147719,Aggravated Assault,Assault
147720,Intimidation,Psychological Harassment
147720,Not Specified,Other
147721,Simple Assault,Assault
143869,Simple Assault,Assault
143877,Intimidation,Psychological Harassment
147732,Destruction/Damage/Vandalism of Property,Assault
147733,Intimidation,Psychological Harassment
143878,Simple Assault,Assault
143879,Destruction/Damage/Vandalism of Property,Assault
147734,Simple Assault,Assault
147735,Aggravated Assault,Assault
147736,Destruction/Damage/Vandalism of Property,Assault
143880,Destruction/Damage/Vandalism of Property,Assault
143881,Simple Assault,Assault
143882,Aggravated Assault,Assault
143883,Aggravated Assault,Assault
143884,Destruction/Damage/Vandalism of Property,Assault
143885,Aggravated Assault,Assault
143886,Simple Assault,Assault
143887,Simple Assault,Assault
143870,Destruction/Damage/Vandalism of Property,Assault
147722,Simple Assault,Assault
143871,Simple Assault,Assault
143872,Intimidation,Psychological Harassment
143873,Aggravated Assault,Assault
143874,Aggravated Assault,Assault
143874,Motor Vehicle Theft,Burgarly or Robbery
143874,Robbery,Burgarly or Robbery
147723,Destruction/Damage/Vandalism of Property,Assault
147724,Burglary/Breaking & Entering,Burgarly or Robbery
147724,Destruction/Damage/Vandalism of Property,Assault
147725,Aggravated Assault,Assault
147726,Aggravated Assault,Assault
147727,Robbery,Burgarly or Robbery
143875,Aggravated Assault,Assault
143876,Intimidation,Psychological Harassment
147728,Aggravated Assault,Assault
147729,Simple Assault,Assault
147730,Aggravated Assault,Assault
147730,Destruction/Damage/Vandalism of Property,Assault
147731,Destruction/Damage/Vandalism of Property,Assault
143893,Simple Assault,Assault
147743,Destruction/Damage/Vandalism of Property,Assault
147744,Aggravated Assault,Assault
143894,Aggravated Assault,Assault
143895,Robbery,Burgarly or Robbery
147745,Simple Assault,Assault
147746,Aggravated Assault,Assault
143896,Destruction/Damage/Vandalism of Property,Assault
147747,Intimidation,Psychological Harassment
147748,Aggravated Assault,Assault
147749,Destruction/Damage/Vandalism of Property,Assault
143897,Simple Assault,Assault
147750,Aggravated Assault,Assault
143898,Intimidation,Psychological Harassment
143888,Destruction/Damage/Vandalism of Property,Assault
147737,Intimidation,Psychological Harassment
143889,Intimidation,Psychological Harassment
147738,Intimidation,Psychological Harassment
147739,Intimidation,Psychological Harassment
143890,Simple Assault,Assault
143891,Aggravated Assault,Assault
143892,Aggravated Assault,Assault
147740,Intimidation,Psychological Harassment
147741,Simple Assault,Assault
147742,Intimidation,Psychological Harassment
143899,Aggravated Assault,Assault
147751,Destruction/Damage/Vandalism of Property,Assault
147752,Aggravated Assault,Assault
147753,Destruction/Damage/Vandalism of Property,Assault
143900,Intimidation,Psychological Harassment
143901,Aggravated Assault,Assault
143902,Intimidation,Psychological Harassment
143903,Destruction/Damage/Vandalism of Property,Assault
143904,Destruction/Damage/Vandalism of Property,Assault
147754,Simple Assault,Assault
147755,Aggravated Assault,Assault
147756,Aggravated Assault,Assault
147756,Intimidation,Psychological Harassment
147757,Simple Assault,Assault
147758,Destruction/Damage/Vandalism of Property,Assault
147759,Destruction/Damage/Vandalism of Property,Assault
143905,Robbery,Burgarly or Robbery
143906,Aggravated Assault,Assault
143907,Simple Assault,Assault
143908,Intimidation,Psychological Harassment
143909,Simple Assault,Assault
143910,Simple Assault,Assault
143911,Simple Assault,Assault
143912,Destruction/Damage/Vandalism of Property,Assault
143913,Destruction/Damage/Vandalism of Property,Assault
143914,Destruction/Damage/Vandalism of Property,Assault
143915,Destruction/Damage/Vandalism of Property,Assault
143916,Destruction/Damage/Vandalism of Property,Assault
143917,Simple Assault,Assault
143918,Simple Assault,Assault
143919,Simple Assault,Assault
143920,Intimidation,Psychological Harassment
143921,Destruction/Damage/Vandalism of Property,Assault
143922,Destruction/Damage/Vandalism of Property,Assault
143923,Intimidation,Psychological Harassment
143924,Simple Assault,Assault
143925,Aggravated Assault,Assault
143926,Intimidation,Psychological Harassment
143927,Robbery,Burgarly or Robbery
143928,Intimidation,Psychological Harassment
143928,Simple Assault,Assault
143929,Simple Assault,Assault
143930,Destruction/Damage/Vandalism of Property,Assault
143931,Intimidation,Psychological Harassment
143932,Destruction/Damage/Vandalism of Property,Assault
143933,Destruction/Damage/Vandalism of Property,Assault
143934,Destruction/Damage/Vandalism of Property,Assault
143935,Robbery,Burgarly or Robbery
143936,Intimidation,Psychological Harassment
143937,Simple Assault,Assault
143938,Destruction/Damage/Vandalism of Property,Assault
143939,Destruction/Damage/Vandalism of Property,Assault
143940,Simple Assault,Assault
143941,Destruction/Damage/Vandalism of Property,Assault
143942,Intimidation,Psychological Harassment
143943,Intimidation,Psychological Harassment
143944,Destruction/Damage/Vandalism of Property,Assault
143945,Simple Assault,Assault
143946,Aggravated Assault,Assault
143947,Aggravated Assault,Assault
143948,Aggravated Assault,Assault
143949,Aggravated Assault,Assault
143950,Simple Assault,Assault
143951,Intimidation,Psychological Harassment
143952,Aggravated Assault,Assault
143953,Destruction/Damage/Vandalism of Property,Assault
143954,Destruction/Damage/Vandalism of Property,Assault
143955,Destruction/Damage/Vandalism of Property,Assault
143956,Aggravated Assault,Assault
143957,Destruction/Damage/Vandalism of Property,Assault
143958,Destruction/Damage/Vandalism of Property,Assault
143959,Burglary/Breaking & Entering,Burgarly or Robbery
143960,Destruction/Damage/Vandalism of Property,Assault
143961,Destruction/Damage/Vandalism of Property,Assault
143962,Destruction/Damage/Vandalism of Property,Assault
143963,Simple Assault,Assault
143964,Destruction/Damage/Vandalism of Property,Assault
143965,Simple Assault,Assault
143966,Simple Assault,Assault
147760,Simple Assault,Assault
147761,Destruction/Damage/Vandalism of Property,Assault
147762,Destruction/Damage/Vandalism of Property,Assault
147763,Simple Assault,Assault
147764,Intimidation,Psychological Harassment
147765,Simple Assault,Assault
147766,Destruction/Damage/Vandalism of Property,Assault
147767,Destruction/Damage/Vandalism of Property,Assault
147768,Intimidation,Psychological Harassment
147769,Simple Assault,Assault
147770,Destruction/Damage/Vandalism of Property,Assault
147771,Destruction/Damage/Vandalism of Property,Assault
147772,Destruction/Damage/Vandalism of Property,Assault
147773,Destruction/Damage/Vandalism of Property,Assault
147774,Destruction/Damage/Vandalism of Property,Assault
147775,Destruction/Damage/Vandalism of Property,Assault
147776,Destruction/Damage/Vandalism of Property,Assault
147777,Destruction/Damage/Vandalism of Property,Assault
147778,Destruction/Damage/Vandalism of Property,Assault
147959,Simple Assault,Assault
147960,Intimidation,Psychological Harassment
147961,Aggravated Assault,Assault
147962,Destruction/Damage/Vandalism of Property,Assault
147963,Intimidation,Psychological Harassment
147964,Aggravated Assault,Assault
147965,Simple Assault,Assault
147966,Aggravated Assault,Assault
147967,Destruction/Damage/Vandalism of Property,Assault
147968,Destruction/Damage/Vandalism of Property,Assault
