Incident_Id,Year,State,Region
143771,2010,California,West
147802,2010,California,West
143772,2010,California,West
143773,2010,California,West
143774,2010,California,West
143775,2010,California,West
143776,2010,California,West
143777,2010,California,West
147803,2010,California,West
147804,2010,California,West
147805,2010,California,West
147806,2010,California,West
147807,2010,California,West
147808,2010,California,West
147809,2010,California,West
147810,2010,California,West
147811,2010,California,West
143778,2010,California,West
147812,2010,California,West
147813,2010,California,West
143779,2010,California,West
143780,2010,California,West
143781,2010,California,West
143782,2010,California,West
143783,2010,California,West
143784,2010,California,West
147814,2010,California,West
147815,2010,California,West
147816,2010,California,West
147817,2010,California,West
147818,2010,California,West
147819,2010,California,West
147820,2010,California,West
147821,2010,California,West
147822,2010,California,West
143785,2010,California,West
143786,2010,California,West
143787,2010,California,West
143788,2010,California,West
143789,2010,California,West
147823,2010,California,West
147824,2010,California,West
147825,2010,California,West
147826,2010,California,West
147827,2010,California,West
147828,2010,California,West
143790,2010,California,West
147829,2010,California,West
147830,2010,California,West
143791,2010,California,West
143792,2010,California,West
143793,2010,California,West
143794,2010,California,West
143795,2010,California,West
143796,2010,California,West
143797,2010,California,West
143798,2010,California,West
143799,2010,California,West
143800,2010,California,West
143801,2010,California,West
143802,2010,California,West
143803,2010,California,West
147831,2010,California,West
147832,2010,California,West
143804,2010,California,West
143805,2010,California,West
143806,2010,California,West
143807,2010,California,West
143808,2010,California,West
143809,2010,California,West
143810,2010,California,West
143811,2010,California,West
143812,2010,California,West
147833,2010,California,West
143813,2010,California,West
147834,2010,California,West
143814,2010,California,West
147835,2010,California,West
143815,2010,California,West
143816,2010,California,West
147836,2010,California,West
147837,2010,California,West
147838,2010,California,West
143817,2010,California,West
147839,2010,California,West
143818,2010,California,West
143819,2010,California,West
147840,2010,California,West
147841,2010,California,West
147842,2010,California,West
143820,2010,California,West
147843,2010,California,West
143821,2010,California,West
147844,2010,California,West
147845,2010,California,West
143822,2010,California,West
143823,2010,California,West
147846,2010,California,West
147847,2010,California,West
147848,2010,California,West
143824,2010,California,West
147849,2010,California,West
147850,2010,California,West
143825,2010,California,West
147851,2010,California,West
143826,2010,California,West
147852,2010,California,West
147853,2010,California,West
143827,2010,California,West
143828,2010,California,West
147854,2010,California,West
147855,2010,California,West
143829,2010,California,West
143830,2010,California,West
143831,2010,California,West
147856,2010,California,West
147857,2010,California,West
147858,2010,California,West
143832,2010,California,West
143833,2010,California,West
147859,2010,California,West
147860,2010,California,West
147861,2010,California,West
147862,2010,California,West
143834,2010,California,West
147863,2010,California,West
143835,2010,California,West
147864,2010,California,West
147865,2010,California,West
143836,2010,California,West
143837,2010,California,West
143838,2010,California,West
143839,2010,California,West
143840,2010,California,West
143841,2010,California,West
143842,2010,California,West
143843,2010,California,West
143844,2010,California,West
143845,2010,California,West
147866,2010,California,West
147867,2010,California,West
143846,2010,California,West
147868,2010,California,West
143847,2010,California,West
147869,2010,California,West
143848,2010,California,West
143849,2010,California,West
147870,2010,California,West
147871,2010,California,West
143850,2010,California,West
147872,2010,California,West
143851,2010,California,West
143852,2010,California,West
143853,2010,California,West
143854,2010,California,West
143855,2010,California,West
143856,2010,California,West
143857,2010,California,West
143858,2010,California,West
143859,2010,California,West
143860,2010,California,West
143861,2010,California,West
143862,2010,California,West
143863,2010,California,West
143864,2010,California,West
143865,2010,California,West
143866,2010,California,West
143867,2010,California,West
147709,2010,California,West
147710,2010,California,West
147711,2010,California,West
147712,2010,California,West
147713,2010,California,West
147714,2010,California,West
147715,2010,California,West
147716,2010,California,West
147717,2010,California,West
147718,2010,California,West
147873,2010,California,West
147874,2010,California,West
147875,2010,California,West
147876,2010,California,West
147877,2010,California,West
147878,2010,California,West
147879,2010,California,West
147880,2010,California,West
147881,2010,California,West
147882,2010,California,West
147883,2010,California,West
147884,2010,California,West
147885,2010,California,West
147886,2010,California,West
143868,2010,California,West
147719,2010,California,West
147720,2010,California,West
147721,2010,California,West
143869,2010,California,West
143877,2010,California,West
147732,2010,California,West
147733,2010,California,West
143878,2010,California,West
143879,2010,California,West
147734,2010,California,West
147735,2010,California,West
147736,2010,California,West
143880,2010,California,West
143881,2010,California,West
143882,2010,California,West
143883,2010,California,West
143884,2010,California,West
143885,2010,California,West
143886,2010,California,West
143887,2010,California,West
143870,2010,California,West
147722,2010,California,West
143871,2010,California,West
143872,2010,California,West
143873,2010,California,West
143874,2010,California,West
147723,2010,California,West
147724,2010,California,West
147725,2010,California,West
147726,2010,California,West
147727,2010,California,West
143875,2010,California,West
143876,2010,California,West
147728,2010,California,West
147729,2010,California,West
147730,2010,California,West
147731,2010,California,West
143893,2010,California,West
147743,2010,California,West
147744,2010,California,West
143894,2010,California,West
143895,2010,California,West
147745,2010,California,West
147746,2010,California,West
143896,2010,California,West
147747,2010,California,West
147748,2010,California,West
147749,2010,California,West
143897,2010,California,West
147750,2010,California,West
143898,2010,California,West
143888,2010,California,West
147737,2010,California,West
143889,2010,California,West
147738,2010,California,West
147739,2010,California,West
143890,2010,California,West
143891,2010,California,West
143892,2010,California,West
147740,2010,California,West
147741,2010,California,West
147742,2010,California,West
143899,2010,California,West
147751,2010,California,West
147752,2010,California,West
147753,2010,California,West
143900,2010,California,West
143901,2010,California,West
143902,2010,California,West
143903,2010,California,West
143904,2010,California,West
147754,2010,California,West
147755,2010,California,West
